Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Gross savings (current LCU),NY.GNS.ICTR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731800000,613600000,666700000,807400000,636850000,795265800,651411400,428678800,535908200,696168100,-69827909.4555064,579326441.654495,139828600.000001,780914600.000001,510837700,204164500,-58556900.0000001,269210000,340928006.981135,535033676.090679,794925359.674235,829371051.820824,792175260.996587,723785059.915742,1016443488.98758,60240561.8766371,520982543.631076,1009948288.64031,
Africa Eastern and Southern,AFE,Gross savings (current LCU),NY.GNS.ICTR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Gross savings (current LCU),NY.GNS.ICTR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-42023830081.2178,,,
Africa Western and Central,AFW,Gross savings (current LCU),NY.GNS.ICTR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Gross savings (current LCU),NY.GNS.ICTR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192142003793.793,346261447808.3,659844719070.668,1327211171592.36,1829334547123.27,2077577471196.12,2568244445500.43,1542573925467.05,2848635733108.21,3978654643166.85,4551715438667.6,4219573748552.68,4276812822723.15,3462121131752.65,3974790146558.77,4680523397646.51,6432543719751.34,9736976201296.33,8897132539508.86,17053189321568.6,19096887147973.8,17595988335673.5
Albania,ALB,Gross savings (current LCU),NY.GNS.ICTR.CN,,,,,,,,,,,,,,,,,,,,,,,,,4431985900,4624207700,4738710100,4338169800,3893290200,4835720200,3047335300,-1734099600,-5868977249.99999,13559271000,5534956186,36281502500,53940494169.8,18462680000,66722775600,66093640000,129767183200,162978856000,155778023696,177962266328.619,216759011865.752,242105290292.573,253694838811.939,231285407329.34,191613840614.65,198311564730.805,247527561702.081,267219170494.749,261565503191.383,239516844895.04,222263540081.9,241881237627.477,251044023258.895,256311956949.192,340468272708.477,298816957734.299,292400733726.078,394623957783.439,452198051404.204,520584398803.788
Andorra,AND,Gross savings (current LCU),NY.GNS.ICTR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Gross savings (current LCU),NY.GNS.ICTR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Gross savings (current LCU),NY.GNS.ICTR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Gross savings (current LCU),NY.GNS.ICTR.CN,,,,,,,,,,,,,,,,,34.8451049219818,92.291016839058,213.5661039,487.21029513033,882.847651172393,1485.91000006155,4011.81279976284,20296.8480000866,139371.529823333,,1475988.60633333,3545984.56133333,,442168559.686667,11057415057.1667,24533127000,30939810766.4,38433306700,40285144300,42605253700,46619462700,48802850871.8422,48219558501.997,38734675164.8396,40835638747.9504,38192751717.4513,66714502286,81702174356,66862626238,79857884668,153326861152.348,199411646636.271,242883457838.002,228637692577.893,288007074545.082,377694966467.321,427604387413.876,508757607300.91,728488123655.758,851842045309.643,1203142469478.53,1393169120090.05,1680011256546.24,2951522489582.23,4084774119223.88,8972462201537.38,14232764356832.8,30417587831500.4
Armenia,ARM,Gross savings (current LCU),NY.GNS.ICTR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-229456638.625,4805381632.91724,-11123623065.9013,11819698655.5103,31482577377.6604,7224375815.3672,27984702747.0107,-9560680127.4332,63638259935.0426,139590754956.931,265496052708.323,376148289432.766,545184190873.792,758204943447.813,900716865262.123,995711069615.013,441325204154.444,456773159428.329,419190369907.742,601431536305.405,675907274048.733,641302279146.042,930740845049.666,905776957957.75,955894139301.672,935864128751.659,672751056142.729,967822127878.417,1374754649690.31,1913158599522.14,1794157608625.74
American Samoa,ASM,Gross savings (current LCU),NY.GNS.ICTR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Gross savings (current LCU),NY.GNS.ICTR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Gross savings (current LCU),NY.GNS.ICTR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94623795197.0329,98941366692.5747,86539692079.8039,77638996158.3152,90318338544.6723,102084871554.671,102325997218.937,110554984394.403,121431826231.632,127442009836.724,128282498456.892,140459771111.296,146768783127.741,164753787157.961,169318782204.362,185961319072.35,194157842627.467,216480927904.526,232622102468.032,258260184239.92,302705593060.752,284075973358.931,329586065346.547,364404228056.167,367139341560.867,376782975925.477,367273310600.001,341703761219.546,380789116365.045,396123221490.252,430838054068.71,464633788972.475,530900611877.299,584895515527.66,615471217696.245
Austria,AUT,Gross savings (current LCU),NY.GNS.ICTR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67843888627.8661,73423280745.0034,81783988167.3389,85990959246.9891,73626646020.0528,78010804791.2775,82986890241.2346,84059941919.2794,84936915447.4619,89634901943.5514,90117202286.0143,98607237220.7528,99035795010.8213,105248704926.384,112483687310.487,111422014918.451,118359678578.81,123268167667.692,124337291474.711
Azerbaijan,AZE,Gross savings (current LCU),NY.GNS.ICTR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155363552.586,57501662.982,436504974.625,227727842.8,546367169.849,945104092.621,1257836088.249,1376898542.548,1860339171.564,2349435247.912,4971961804.691,8451627526.37,12865637789.348,20045770729,14371483760.836,18994728540.6,24371129540.298,24235221678.225,24878358137.099,24046270573.229,15292691944.18,13656184881.26,20416044683.09,25749238033.256,23400649992.9422,17105919200,30320417700,56338183400,36876669000
Burundi,BDI,Gross savings (current LCU),NY.GNS.ICTR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,14245038366.5878,11846697414.9219,19845689850.1776,13014742400,25437721691.1764,16875027430.5192,24752894628.5786,11604210646.3652,27602282556.6027,12661309811.1266,15035072363.976,9833513249.45827,20707677707.8835,2662543881.34145,11011702618.5095,8330783113.76398,10847045723.2191,32267213739.1015,57387907199.9998,66374863311.2819,185458500079.828,104889900000,107657099879.399,-28757500062.0726,215963000085.703,80361999954.7006,55029699912.1463,366288800000,149926299855.842,-20956948302.7108,591670625165.557,355411247627.028,404727002062.299,298760511104.489,537147625272.667,629432305073.046,831010881806.078,795267651482.833,1003404141213.36
Belgium,BEL,Gross savings (current LCU),NY.GNS.ICTR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72062411304.095,73742583156.442,80718180890.3409,84692419855.1514,90548192860.0745,98892092954.2609,96473780142.3222,84439178998.4993,88565907593.4153,85682657366.2054,92419340574.5544,92820778605.49,95635318182.8117,100775212247.814,103286224210.755,107948940715.43,109262831669.046,118731644571.787,113467613679.487,133883161991.124,136658333984.443,142547680930.053
Benin,BEN,Gross savings (current LCU),NY.GNS.ICTR.CN,,,,,,,,,,,,,,,14821913715.3354,14722828077.0794,18717512476.4973,25088817347.1142,22016389672.9928,31898899759.4658,12387987537.4821,-11407704245.7278,55080961732.0772,34195563297.3298,34523805919.8429,12375582626.3189,19143630550.9438,20462867143.8934,3718010714.47805,21634072252.0162,51700024704.4444,60278348527.2322,56916594295.5698,62380171733.6778,128706729836.583,172160308311.946,184121033079.654,214317145073.411,228824397438.204,281933387665.516,317087593096.508,356556711557.606,396101914979.613,352587835888.525,432752486672.692,422153731857.619,458058882527.134,549164416771.957,551853701493.624,524612287840.968,537254912699.994,611047487201.355,769805962500.01,1006715723599.99,1220323150299.99,949182999999.998,1257567500000,1346214370400.01,1611914009899.99,1874023273416.37,1944171705333.68,2240805673931.75,3123733223726.67,
Burkina Faso,BFA,Gross savings (current LCU),NY.GNS.ICTR.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189701800082.277,215967779525.158,371157631307.651,404861468622.151,510774727523.731,792281055090.058,995993497253.302,1158418646972.87,955544188264.898,921773670159.619,829598000007.988,1022945999974.36,1209872300164.35,1509964219812.27,1582306999902.11,2097224677116.63,1862279717662.01,1764788909733.76,
Bangladesh,BGD,Gross savings (current LCU),NY.GNS.ICTR.CN,,,,,,,,,,,,,,,,,-1263370809.21168,14989933731.2101,11455681731.1344,16764178687.8157,23396954554.4698,69958560774.9299,87349255056.4473,96646395234.2708,77078254165.215,124653933694.372,148778036730.741,170423164903.452,184062795641.91,206454682054.664,239358441390.767,249333585338.119,262921726195.321,262037207811.915,303555987874.905,337768254099.967,439482983212.213,502595868385.414,586251945560.017,657191662860.666,746371190124.399,828046482786.272,966386346843.097,1050693835506.66,1210342821170.81,1381986473074.16,1704636281160.57,1996733003366.15,2350132117339.85,2748115621637.08,3092996556540.96,3485597685890.98,4284084021266.82,4765166630230.75,5076298715457.22,5567686755932.15,7738723169703.8,8201365172711.53,9358520263183.58,10729505824673.6,11790616235125.1,12726730730141.6,13483764458791.9,15674995486995.2
Bulgaria,BGR,Gross savings (current LCU),NY.GNS.ICTR.CN,,,,,,,,,,,,,,,,,,,,,7653900,10031600,10132700,10066100,11189100,10381500,11057500,11081100,12530100,11408900,6652000,23526840,25749260,18578218.6,44727239.9999999,326127054.9,217766733.8,4064306447.2,6665344414.78776,4035063175.94689,3792302259.11789,4871584772.03455,6127310118.15252,6158771193.566,6994750511.6083,7878609999.32901,8011608752.50888,6114984840.54762,10770063343.6952,14363469821.541,15861009163,18191737497,18407251526,19649692947,19504952730,19747293916,22572992713,25683909193,25697860357,28834339314,25041720164,28559871087,33812456052,38037557112.96
