iso,ifs,country,year,size,tax,spend,D_sample,AFG_sample,CSDL_sample,AGL_sample,country_1,iso_1,pop,rgdpmad,rgdpbarro,rconsbarro,gdp,iy,cpi,ca,imports,exports,narrowm,money,stir,ltrate,hpnom,unemp,wage,debtgdp,revenue,expenditure,xrusd,tloans,tmort,thh,tbus,bdebt,lev,ltd,noncore,crisisJST,crisisJST_old,peg,peg_strict,peg_type,peg_base,JSTtrilemmaIV,eq_tr,housing_tr,bond_tr,bill_rate,rent_ipolated,housing_capgain_ipolated,housing_capgain,housing_rent_rtn,housing_rent_yd,eq_capgain,eq_dp,eq_capgain_interp,eq_tr_interp,eq_dp_interp,bond_rate,eq_div_rtn,capital_tr,risky_tr,safe_tr,country_2,wdicode,dnlgxqa,dCAPB,lpop,lcpi,lloans,rprv,drprv,lthh,rhh,dlcpi,riy,lriy,dlriy,cay,rmort,rbus,rhouse
USA,111.0,United States,1978.0,0.13902999460697174,0.13903,0.0,1.0,1.0,0.0,0.0,USA,USA,222585.0,18372.97212300919,60.050521186627115,54.8057,2351.599,0.21330790190735693,52.753916119252146,-15.747,212.25,186.875,121.816,1322.4083333333301,793.0,841.0,50.793097173359214,6.1,56.96376438262065,0.341,399.561,458.746,1.0,1296.421,763.103,857.329,439.092,1975.81396484375,3.9481253623962402,67.53502655029297,14.843806266784668,0,0,0,0,BASE,NA,,0.078448086977005,0.1953878104686737,-0.029651163145899773,0.08221665769815445,,,0.1407591551542282,0.0546286478638649,0.047887977212667465,0.02440844103693962,0.0527520552277565,,,,0.08410000056028366,0.05403964966535568,0.14502398669719696,0.16951584815979004,0.026282746344804764,United States,USA,,,12.313064330108336,3.9656380088281096,7.167362669840299,-9.111339669096147,-911.1339669096146,6.753821742244278,-9.524880596692167,396.56380088281094,12.809250682762716,2.55016761948759,255.016761948759,-0.6696294733923598,-9.641309323315864,2.119070949489102,-12.35094187599905
USA,111.0,United States,1979.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,USA,USA,225055.0,18789.393703761303,61.281414715715165,55.5304,2627.334,0.21988915775505427,57.75644264780191,-0.1567,252.675,230.15,131.347,1425.7666666666698,1119.0,944.2500000000001,57.683792308625506,5.8,61.85814872059077,0.32299999999999995,463.302,504.028,1.0,1446.002,845.813,955.312,490.69,2310.240966796875,3.8972251415252686,68.646728515625,16.179241180419922,0,0,0,0,BASE,NA,,0.18041826784610748,0.188324436545372,-0.015896104276180267,0.11225000023841858,,,0.13566212356090546,0.052662309259176254,0.0463714599609375,0.12163145840167999,0.05241187661886215,,,,0.09442500025033951,0.05878680944442749,0.1648193597793579,0.18659913539886475,0.048176947981119156,United States,USA,,,12.324100095759325,4.056234904180336,7.276557785843618,-9.103777214096043,-910.3777214096043,6.862037988696073,-9.518297011243588,405.6234904180336,13.475118667876796,2.600844923277753,260.0844923277753,-0.00596422076523198,-9.640036704955547,2.1395776596575296,-12.325358761748616
USA,111.0,United States,1980.0,0.08150000125169754,0.0815,0.0,1.0,1.0,0.0,0.0,USA,USA,227726.5,18577.36665413365,60.5510133758193,54.8413,2857.307,0.21011244014848557,64.2243557352198,2.127,293.825,280.775,141.483,1540.35,1335.0,1146.0,62.28163290064298,7.1,67.13034518289543,0.325,517.112,590.941,1.0,1527.143,902.187,999.461,527.682,2579.657958984375,3.94747257232666,67.94718933105469,16.902292251586914,0,0,0,0,BASE,NA,,0.2955473065376282,0.13123786449432373,-0.03143478184938431,0.13066670298576355,,,0.07970695197582245,0.05153091624379158,0.04772676154971123,0.23840445280075073,0.046142321079969406,,,,0.11460000276565552,0.05714285746216774,0.15453527867794037,0.17260880768299103,0.04961596056818962,United States,USA,,,12.335900626483403,4.16238251157498,7.331153948509143,-9.16712918954924,-916.7129189549239,6.907216133669419,-9.591067004388965,416.238251157498,12.722521173856983,2.543373743763764,254.33737437637637,0.07444072338044179,-9.693461322409803,2.1061113179649356,-12.366616572736177
USA,111.0,United States,1981.0,0.5136399865150452,0.51364,0.0,1.0,1.0,0.0,0.0,USA,USA,229966.2,18855.55486999598,61.47969991866615,55.0825,3207.042,0.20770104098373765,70.28802425467407,4.81,317.75,305.225,150.002,1679.5916666666699,1639.0,1391.08,65.41611063933034,7.6,73.77640391550749,0.317,599.272,678.241,1.0,1624.343,945.537,1040.182,584.161,2897.862060546875,3.980062246322632,70.50186920166016,18.44986343383789,0,0,0,0,BASE,NA,,-0.02299625426530838,0.10306918621063232,-0.0006666667177341878,0.15910829603672028,,,0.05032786726951599,0.052741315215826035,0.050214145332574844,-0.07265917956829071,0.053554121404886246,,,,0.13910800218582153,0.04966292157769203,0.07594972103834152,0.07537075132131577,0.07922081649303436,United States,USA,,,12.345687620584426,4.2526014323089685,7.392858705317138,-9.205430347576257,-920.5430347576257,6.947150976824704,-9.65113807606869,425.26014323089686,12.76939767247477,2.5470515015455613,254.70515015455612,0.14998244488223103,-9.746536032826544,2.1175751974566577,-12.417520484716047
USA,111.0,United States,1982.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,USA,USA,232187.8,18325.12026308355,59.7001156433609,55.3294,3343.789,0.1980984759527601,74.53259221829207,-11.607,303.2,283.2,163.019,1831.44166666667,1224.0,1300.08,67.56338711634113,9.7,78.39601579941612,0.34299999999999997,617.766,745.743,1.0,1690.665,954.405,1046.044,644.621,3134.837890625,4.0232343673706055,71.00244903564453,18.97333335876465,0,0,0,0,BASE,NA,,0.18150241672992706,0.08719582855701447,0.3634151220321655,0.12270829826593399,,,0.032825253903865814,0.05437057465314865,0.052642568945884705,0.12600968778133392,0.04928264021873474,,,,0.13000799715518951,0.05549272894859314,0.1303161233663559,0.10940541326999664,0.24306170642375946,United States,USA,,,12.3553018059526,4.311236509159446,7.43287722164405,-9.233661093467996,-923.3661093467996,6.952770708749721,-9.713767606362325,431.1236509159446,11.826501923153327,2.470342938841411,247.03429388414108,-0.34712118497907607,-9.805450205448516,2.1574260380343873,-12.453472089492198
USA,111.0,United States,1983.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,USA,USA,234307.2,18920.156391092147,61.84983229750799,57.9834,3634.038,0.19603349742545126,77.71601819100556,-44.222,328.675,277.0,180.178,2054.78333333333,909.0,1110.5,70.18682518500546,9.6,81.52155246436546,0.387,600.562,808.364,1.0,1873.918,1071.727,1162.989,710.929,3370.35302734375,4.149871349334717,70.62718200683594,17.925189971923828,0,0,0,0,BASE,NA,,0.230200856924057,0.09467987716197968,0.012692307122051716,0.09066666662693024,,,0.038828715682029724,0.05585115775465965,0.05376358702778816,0.17934001982212067,0.04312651976943016,,,,0.11105000227689743,0.05086082965135574,0.11723767220973969,0.1308588981628418,0.05167948827147484,United States,USA,,,12.364388353857283,4.353061390451115,7.535786705170792,-9.181663039137607,-918.1663039137608,7.058748694176428,-9.65870105013197,435.30613904511154,12.124638940458125,2.495239658273624,249.5239658273624,-1.216883257687454,-9.740423099289185,2.2135111750128242,-12.466289126317143
USA,111.0,United States,1984.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,USA,USA,236348.3,20122.667101821073,65.7574743817149,60.5565,4037.613,0.20594415556663578,80.94997473471449,-99.008,405.125,302.375,192.726,2219.31666666667,1023.0,1243.83,73.21515225039427,7.5,84.8531684698609,0.396,666.438,851.805,1.0,2182.121,1249.642,1355.571,826.922,3794.34912109375,4.291740894317627,75.90142822265625,18.25180435180664,1,1,0,0,BASE,NA,,0.046411190181970596,0.1008361354470253,0.14989830553531647,0.10365000367164612,,,0.0431462898850441,0.0576898455619812,0.05530369654297829,0.0006082725012674928,0.045775074511766434,,,,0.12438300251960754,0.04580291733145714,0.09564519673585892,0.08872948586940765,0.1267741620540619,United States,USA,,,12.373061843472858,4.39383136801383,7.688052618567706,-9.078840592918981,-907.8840592918981,7.211978046762846,-9.554915164723841,439.383136801383,13.542367533736961,2.6058231069799773,260.58231069799774,-2.452141896709764,-9.636280822210653,2.323879005754013,-12.473490813984338
USA,111.0,United States,1985.0,0.19133000075817108,0.19133,0.0,1.0,1.0,0.0,0.0,USA,USA,238466.3,20717.322960076497,67.88817599332258,63.1634,4338.979,0.2070430683725827,83.72915613946437,-124.455,417.25,302.025,211.081,2416.6666666666697,810.0,1062.33,76.95772170326337,7.2,88.08174480508329,0.426,734.037,946.344,1.0,2414.814,1359.106,1484.7420000000002,930.435,4254.1298828125,4.339538097381592,75.89521789550781,18.914737701416016,0,0,0,0,BASE,NA,,0.3082066774368286,0.11023561656475067,0.29332786798477173,0.08047500252723694,,,0.05111787095665932,0.059117741882801056,0.05624273419380188,0.26018235087394714,0.03810901939868927,,,,0.10623300075531006,0.048024315387010574,0.16738350689411163,0.16318251192569733,0.18690143525600433,United States,USA,,,12.38198327953642,4.427587257812088,7.789377544487046,-9.020192992861464,-902.0192992861464,7.302996298768977,-9.506574238579532,442.7587257812088,14.055776263875414,2.643033433276283,264.3033433276283,-2.868301505953359,-9.594988127710764,2.4080649609135376,-12.46631433507708
USA,111.0,United States,1986.0,0.1106100007891655,0.11061,0.0,1.0,1.0,0.0,0.0,USA,USA,240650.8,21236.08546335124,69.61163030348476,65.1389,4579.631,0.20475106781314112,85.19454269833248,-147.174,452.85,320.35,232.33,2613.53333333333,680.0,768.25,82.17123620041247,7.0,89.83341919972524,0.46799999999999997,769.155,990.382,1.0,2667.175,1530.747,1640.8029999999999,1030.069,4461.69921875,4.382522106170654,75.6521224975586,18.788333892822266,0,0,0,0,BASE,NA,,0.23917028307914734,0.12732984125614166,0.25966668128967285,0.06518332660198212,,,0.06774500757455826,0.059584829956293106,0.05580436438322067,0.1992281675338745,0.03330651670694351,,,,0.07682500034570694,0.03994211181998253,0.1583782136440277,0.15745744109153748,0.16242501139640808,United States,USA,-0.2838664,-0.2838664,12.39110219905567,4.444937378947326,7.888775138827227,-8.947264439175768,-894.7264439175768,7.402941035132901,-9.433098542870095,444.49373789473265,14.253055636852118,2.6569713143839815,265.6971314383982,-3.213665031090933,-9.502528447470468,2.492443690323868,-12.427234261747941
USA,111.0,United States,1987.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,USA,USA,242803.5,21787.69367412788,71.3366098844389,66.7247,4855.215,0.19891372048096106,88.12531581606872,-160.647,508.7,363.775,248.728,2783.76666666667,666.0,838.4169999999999,87.44995753973068,6.2,91.49922720247295,0.49200000000000005,854.287,1004.017,1.0,2889.206,1748.01,1804.666,1103.971,4731.21484375,4.217868804931641,76.18572998046875,18.72194480895996,0,0,0,0,BASE,NA,,0.004867256619036198,0.12214745581150055,-0.031142856925725937,0.06860832870006561,,,0.06424148380756378,0.057905975729227066,0.05441056191921234,-0.03057119809091091,0.03655601665377617,,,,0.08384169638156891,0.035438455641269684,0.07804985344409943,0.0923054963350296,0.018732735887169838,United States,USA,0.94533885,0.94533885,12.40000775322009,4.4787598448544506,7.968737002873968,-8.910030595200572,-891.0030595200573,7.498130812093435,-9.380636785981105,447.87598448544503,14.189830478612643,2.652525544561665,265.2525544561665,-3.30875151769798,-9.412534321051623,2.527909113521635,-12.407700882147719
