observation_date,SUBLPDMOSXWBNQ,DRTSCLCC,SUBLPDMODXWBNQ,SUBLPDCLCSLGNQ,DRTSCILM,DRTSCIS,SUBLPDMHSXWBNQ
1991-01-01,,,,,23.5,13.6,
1992-01-01,1.6,,5.7,,3.8,-3.6,4.7
1993-01-01,-8.0,,20.4,,-13.4,-6.0,-5.6
1994-01-01,-11.0,,12.0,,-16.7,-11.4,-8.5
1995-01-01,-4.8,,5.3,,-7.7,-4.0,-1.0
1996-01-01,10.4,36.6,5.8,40.6,-2.7,-2.2,16.5
1997-01-01,3.8,32.8,11.3,34.6,-8.0,-3.6,12.1
1998-01-01,7.1,18.6,28.8,17.8,7.8,2.4,3.4
1999-01-01,4.0,7.6,-6.3,9.3,8.0,4.0,0.8
2000-01-01,14.1,3.3,-15.0,3.8,28.3,20.4,1.0
2001-01-01,34.1,15.8,-23.8,19.6,50.5,38.5,13.7
2002-01-01,20.1,14.2,-14.2,13.7,28.0,20.0,9.9
2003-01-01,6.9,7.2,-2.0,7.3,8.6,7.1,6.3
2004-01-01,-12.1,1.7,6.6,0.0,-20.5,-13.0,-4.8
2005-01-01,-13.4,-5.2,10.1,-6.0,-18.3,-13.4,-7.7
2006-01-01,-6.0,-1.4,-20.3,1.4,-8.0,-4.5,-13.6
2007-01-01,27.9,-2.8,-20.9,-3.2,5.7,6.2,36.3
2008-01-01,78.3,41.9,-38.5,48.2,57.2,55.5,83.5
2009-01-01,55.9,42.0,-35.6,48.7,37.3,40.4,66.6
2010-01-01,-0.7,-1.5,-11.5,-4.4,-8.0,-3.1,-3.7
2011-01-01,-13.5,-11.9,11.4,-18.7,-13.7,-7.4,-16.0
2012-01-01,-6.5,-11.3,15.1,-16.1,-4.7,-3.1,-4.4
2013-01-01,-15.4,-4.6,14.6,-5.8,-13.2,-12.0,-16.7
2014-01-01,-14.7,-9.5,2.9,-9.4,-11.5,-6.9,-17.8
2015-01-01,-10.6,-4.3,16.7,-5.4,-2.6,-2.9,-16.2
2016-01-01,3.7,-3.3,9.7,-4.5,7.5,3.9,-6.6
2017-01-01,6.1,3.9,-10.2,4.3,-3.5,-4.0,8.9
2018-01-01,-7.1,5.3,-10.1,8.1,-13.3,-3.4,-2.5
2019-01-01,2.5,10.1,-3.3,19.8,0.3,1.0,4.0
2020-01-01,39.6,37.6,-14.7,52.3,37.6,34.9,37.7
2021-01-01,-27.5,-27.1,9.2,-37.2,-15.1,-9.6,-39.9
2022-01-01,5.4,-2.2,-5.2,0.5,11.8,11.2,-5.3
2023-01-01,36.9,31.0,-31.7,37.4,43.9,42.5,29.5
2024-01-01,11.3,20.6,-9.2,32.5,9.5,15.0,10.7
