"COUNTRY.Name","INDICATOR.Name","TYPE_OF_TRANSFORMATION.Name","FREQUENCY.Name","TIME_PERIOD","OBS_VALUE"
"Afghanistan, Islamic Republic of","Loan Accounts, Commercial banks","Number","Annual","2016","59478"
"Afghanistan, Islamic Republic of","Loan Accounts, Commercial banks","Number","Annual","2017","64106"
"Afghanistan, Islamic Republic of","Loan Accounts, Commercial banks","Number","Annual","2018","72457"
"Afghanistan, Islamic Republic of","Loan Accounts, Commercial banks","Number","Annual","2019","66127"
"Angola","Loan Accounts, Commercial banks","Number","Annual","2016","294650"
"Angola","Loan Accounts, Commercial banks","Number","Annual","2017","423317"
"Angola","Loan Accounts, Commercial banks","Number","Annual","2018","394290"
"Angola","Loan Accounts, Commercial banks","Number","Annual","2020","1384368"
"Anguilla, United Kingdom-British Overseas Territory","Loan Accounts, Commercial banks","Number","Annual","2020","4680"
"Anguilla, United Kingdom-British Overseas Territory","Loan Accounts, Commercial banks","Number","Annual","2021","4715"
"Anguilla, United Kingdom-British Overseas Territory","Loan Accounts, Commercial banks","Number","Annual","2022","5933"
"Anguilla, United Kingdom-British Overseas Territory","Loan Accounts, Commercial banks","Number","Annual","2023","5590"
"Albania","Loan Accounts, Commercial banks","Number","Annual","2016","412452"
"Albania","Loan Accounts, Commercial banks","Number","Annual","2017","390705"
"Albania","Loan Accounts, Commercial banks","Number","Annual","2018","388828"
"Albania","Loan Accounts, Commercial banks","Number","Annual","2019","402190"
"Albania","Loan Accounts, Commercial banks","Number","Annual","2020","420301"
"Albania","Loan Accounts, Commercial banks","Number","Annual","2021","450710"
"Albania","Loan Accounts, Commercial banks","Number","Annual","2022","434672"
"Albania","Loan Accounts, Commercial banks","Number","Annual","2023","417687"
"Andorra, Principality of","Loan Accounts, Commercial banks","Number","Annual","2022","68139"
"Andorra, Principality of","Loan Accounts, Commercial banks","Number","Annual","2023","55916"
"United Arab Emirates","Loan Accounts, Commercial banks","Number","Annual","2016","4884339"
"United Arab Emirates","Loan Accounts, Commercial banks","Number","Annual","2017","5050328"
"United Arab Emirates","Loan Accounts, Commercial banks","Number","Annual","2018","4797058"
"United Arab Emirates","Loan Accounts, Commercial banks","Number","Annual","2019","4777879"
"United Arab Emirates","Loan Accounts, Commercial banks","Number","Annual","2020","4964855"
"United Arab Emirates","Loan Accounts, Commercial banks","Number","Annual","2021","5015883"
"United Arab Emirates","Loan Accounts, Commercial banks","Number","Annual","2022","5516638"
"United Arab Emirates","Loan Accounts, Commercial banks","Number","Annual","2023","6178830"
"Argentina","Loan Accounts, Commercial banks","Number","Annual","2016","17713775"
"Argentina","Loan Accounts, Commercial banks","Number","Annual","2017","17807195"
"Argentina","Loan Accounts, Commercial banks","Number","Annual","2018","18208827"
"Argentina","Loan Accounts, Commercial banks","Number","Annual","2019","17653860"
"Argentina","Loan Accounts, Commercial banks","Number","Annual","2020","16422822"
"Argentina","Loan Accounts, Commercial banks","Number","Annual","2021","16155173"
"Argentina","Loan Accounts, Commercial banks","Number","Annual","2022","17219318"
"Argentina","Loan Accounts, Commercial banks","Number","Annual","2023","17898840"
"Armenia, Republic of","Loan Accounts, Commercial banks","Number","Annual","2016","881100"
"Armenia, Republic of","Loan Accounts, Commercial banks","Number","Annual","2017","902898"
"Armenia, Republic of","Loan Accounts, Commercial banks","Number","Annual","2018","1039980"
"Armenia, Republic of","Loan Accounts, Commercial banks","Number","Annual","2019","1224500"
"Armenia, Republic of","Loan Accounts, Commercial banks","Number","Annual","2020","1333104"
"Armenia, Republic of","Loan Accounts, Commercial banks","Number","Annual","2021","1324584"
"Armenia, Republic of","Loan Accounts, Commercial banks","Number","Annual","2022","1510357"
"Armenia, Republic of","Loan Accounts, Commercial banks","Number","Annual","2023","1964259"
"Antigua and Barbuda","Loan Accounts, Commercial banks","Number","Annual","2020","29823"
"Antigua and Barbuda","Loan Accounts, Commercial banks","Number","Annual","2021","33468"
"Antigua and Barbuda","Loan Accounts, Commercial banks","Number","Annual","2022","26539"
"Antigua and Barbuda","Loan Accounts, Commercial banks","Number","Annual","2023","25200"
"Azerbaijan, Republic of","Loan Accounts, Commercial banks","Number","Annual","2016","1651012"
"Azerbaijan, Republic of","Loan Accounts, Commercial banks","Number","Annual","2017","1398216"
"Azerbaijan, Republic of","Loan Accounts, Commercial banks","Number","Annual","2018","2197452"
"Azerbaijan, Republic of","Loan Accounts, Commercial banks","Number","Annual","2019","2462198"
"Azerbaijan, Republic of","Loan Accounts, Commercial banks","Number","Annual","2020","2433864"
"Azerbaijan, Republic of","Loan Accounts, Commercial banks","Number","Annual","2021","2805949"
"Azerbaijan, Republic of","Loan Accounts, Commercial banks","Number","Annual","2022","3464930"
"Azerbaijan, Republic of","Loan Accounts, Commercial banks","Number","Annual","2023","3755548"
"Burundi","Loan Accounts, Commercial banks","Number","Annual","2017","72805"
"Burundi","Loan Accounts, Commercial banks","Number","Annual","2018","88320"
"Burundi","Loan Accounts, Commercial banks","Number","Annual","2019","105297"
"Burundi","Loan Accounts, Commercial banks","Number","Annual","2020","67919"
"Belgium","Loan Accounts, Commercial banks","Number","Annual","2016","12052702"
"Belgium","Loan Accounts, Commercial banks","Number","Annual","2017","12013363"
"Belgium","Loan Accounts, Commercial banks","Number","Annual","2018","11897461"
"Belgium","Loan Accounts, Commercial banks","Number","Annual","2019","11572324"
"Belgium","Loan Accounts, Commercial banks","Number","Annual","2020","11445085"
"Bangladesh","Loan Accounts, Commercial banks","Number","Annual","2016","10102494"
"Bangladesh","Loan Accounts, Commercial banks","Number","Annual","2017","10608826"
"Bangladesh","Loan Accounts, Commercial banks","Number","Annual","2018","10704156"
"Bangladesh","Loan Accounts, Commercial banks","Number","Annual","2019","11047067"
"Bangladesh","Loan Accounts, Commercial banks","Number","Annual","2020","11090807"
"Bangladesh","Loan Accounts, Commercial banks","Number","Annual","2021","12154964"
"Bangladesh","Loan Accounts, Commercial banks","Number","Annual","2022","12433038"
"Bangladesh","Loan Accounts, Commercial banks","Number","Annual","2023","13179334"
"Bulgaria","Loan Accounts, Commercial banks","Number","Annual","2016","2741743"
"Bulgaria","Loan Accounts, Commercial banks","Number","Annual","2017","2746507"
"Bulgaria","Loan Accounts, Commercial banks","Number","Annual","2018","3065552"
"Bulgaria","Loan Accounts, Commercial banks","Number","Annual","2019","3171576"
"Bulgaria","Loan Accounts, Commercial banks","Number","Annual","2020","2912790"
"Bulgaria","Loan Accounts, Commercial banks","Number","Annual","2021","2930633"
"Bulgaria","Loan Accounts, Commercial banks","Number","Annual","2022","2981505"
"Bulgaria","Loan Accounts, Commercial banks","Number","Annual","2023","2965464"
"Bahrain, Kingdom of","Loan Accounts, Commercial banks","Number","Annual","2023","541582"
"Bahamas, The","Loan Accounts, Commercial banks","Number","Annual","2016","248190"
"Bahamas, The","Loan Accounts, Commercial banks","Number","Annual","2017","247465"
"Bahamas, The","Loan Accounts, Commercial banks","Number","Annual","2018","234707"
"Bahamas, The","Loan Accounts, Commercial banks","Number","Annual","2019","219514"
"Bahamas, The","Loan Accounts, Commercial banks","Number","Annual","2020","210796"
"Bahamas, The","Loan Accounts, Commercial banks","Number","Annual","2021","197834"
"Bahamas, The","Loan Accounts, Commercial banks","Number","Annual","2022","193963"
"Bahamas, The","Loan Accounts, Commercial banks","Number","Annual","2023","206817"
"Bosnia and Herzegovina","Loan Accounts, Commercial banks","Number","Annual","2016","1887886"
"Bosnia and Herzegovina","Loan Accounts, Commercial banks","Number","Annual","2017","1927469"
"Bosnia and Herzegovina","Loan Accounts, Commercial banks","Number","Annual","2018","1986981"
"Bosnia and Herzegovina","Loan Accounts, Commercial banks","Number","Annual","2019","2100099"
"Bosnia and Herzegovina","Loan Accounts, Commercial banks","Number","Annual","2020","2039145"
"Bosnia and Herzegovina","Loan Accounts, Commercial banks","Number","Annual","2021","2031116"
